,Observation,Study,Species,Organ,CellType,SampleType,Application,Design,Platform,ExperimentalTitle,DescriptionOfExperiment,Keywords,Outlier
0,GSM752709.cel,E-GEOD-30169,Homo sapiens,Aorta,Aorta endothelial cells,Primary culture,Biological compound,E-GEOD-30169 | Homo sapiens | Aorta | Aorta endothelial cells | Primary culture | Biological compound | OxPAPC,Affymetrix GeneChip HT Human Genome U133A,Expression of human aortic endothelial cells treated with or without oxidized phospholipids,"Oxidized phospoholipids are a pro-inflammatory component of minimally modified lipoproteins that get trapped in the subendothelial space of atherosclerotic plaques of large arteries. To model the response of endothelial cells in a pro-atherosclerotic enviroment we measured the expression in primary endothelial cells with and without treatment with oxidized phsopolipids from 96 genetically identical donors of anonymous origin. These samples are an extention of samples of similar origin deposited in GSE20060 Primary human aortic endothelial cells were collected from aortic heart explants of heart transplant donors and cultured in standard cell culture condiditions. At confluence, cells were treated with or without  40 ug/ml oxidized 1-palmitoyl-2-arachidonoyl-sn-glycero-3-phosphatidylcholine (Ox-PAPC) for 4 hours in media 199 containing 1% fetal bovine serum. After 4 hours, the cells were collected for RNA extraction and quantification of transcripts via microarrays.  Application of electronic probe mask (HT_U133Amsk.cdf) on raw data.",Atherosclerosis | Metabolism,No
11,GSM752720.cel,E-GEOD-30169,Homo sapiens,Aorta,Aorta endothelial cells,Primary culture,Biological compound,E-GEOD-30169 | Homo sapiens | Aorta | Aorta endothelial cells | Primary culture | Biological compound | OxPAPC,Affymetrix GeneChip HT Human Genome U133A,Expression of human aortic endothelial cells treated with or without oxidized phospholipids,"Oxidized phospoholipids are a pro-inflammatory component of minimally modified lipoproteins that get trapped in the subendothelial space of atherosclerotic plaques of large arteries. To model the response of endothelial cells in a pro-atherosclerotic enviroment we measured the expression in primary endothelial cells with and without treatment with oxidized phsopolipids from 96 genetically identical donors of anonymous origin. These samples are an extention of samples of similar origin deposited in GSE20060 Primary human aortic endothelial cells were collected from aortic heart explants of heart transplant donors and cultured in standard cell culture condiditions. At confluence, cells were treated with or without  40 ug/ml oxidized 1-palmitoyl-2-arachidonoyl-sn-glycero-3-phosphatidylcholine (Ox-PAPC) for 4 hours in media 199 containing 1% fetal bovine serum. After 4 hours, the cells were collected for RNA extraction and quantification of transcripts via microarrays.  Application of electronic probe mask (HT_U133Amsk.cdf) on raw data.",Atherosclerosis | Metabolism,No
12,GSM752721.cel,E-GEOD-30169,Homo sapiens,Aorta,Aorta endothelial cells,Primary culture,Biological compound,E-GEOD-30169 | Homo sapiens | Aorta | Aorta endothelial cells | Primary culture | Biological compound | Untreated,Affymetrix GeneChip HT Human Genome U133A,Expression of human aortic endothelial cells treated with or without oxidized phospholipids,"Oxidized phospoholipids are a pro-inflammatory component of minimally modified lipoproteins that get trapped in the subendothelial space of atherosclerotic plaques of large arteries. To model the response of endothelial cells in a pro-atherosclerotic enviroment we measured the expression in primary endothelial cells with and without treatment with oxidized phsopolipids from 96 genetically identical donors of anonymous origin. These samples are an extention of samples of similar origin deposited in GSE20060 Primary human aortic endothelial cells were collected from aortic heart explants of heart transplant donors and cultured in standard cell culture condiditions. At confluence, cells were treated with or without  40 ug/ml oxidized 1-palmitoyl-2-arachidonoyl-sn-glycero-3-phosphatidylcholine (Ox-PAPC) for 4 hours in media 199 containing 1% fetal bovine serum. After 4 hours, the cells were collected for RNA extraction and quantification of transcripts via microarrays.  Application of electronic probe mask (HT_U133Amsk.cdf) on raw data.",Atherosclerosis | Metabolism,Yes
13,GSM752722.cel,E-GEOD-30169,Homo sapiens,Aorta,Aorta endothelial cells,Primary culture,Biological compound,E-GEOD-30169 | Homo sapiens | Aorta | Aorta endothelial cells | Primary culture | Biological compound | OxPAPC,Affymetrix GeneChip HT Human Genome U133A,Expression of human aortic endothelial cells treated with or without oxidized phospholipids,"Oxidized phospoholipids are a pro-inflammatory component of minimally modified lipoproteins that get trapped in the subendothelial space of atherosclerotic plaques of large arteries. To model the response of endothelial cells in a pro-atherosclerotic enviroment we measured the expression in primary endothelial cells with and without treatment with oxidized phsopolipids from 96 genetically identical donors of anonymous origin. These samples are an extention of samples of similar origin deposited in GSE20060 Primary human aortic endothelial cells were collected from aortic heart explants of heart transplant donors and cultured in standard cell culture condiditions. At confluence, cells were treated with or without  40 ug/ml oxidized 1-palmitoyl-2-arachidonoyl-sn-glycero-3-phosphatidylcholine (Ox-PAPC) for 4 hours in media 199 containing 1% fetal bovine serum. After 4 hours, the cells were collected for RNA extraction and quantification of transcripts via microarrays.  Application of electronic probe mask (HT_U133Amsk.cdf) on raw data.",Atherosclerosis | Metabolism,No
14,GSM752723.cel,E-GEOD-30169,Homo sapiens,Aorta,Aorta endothelial cells,Primary culture,Biological compound,E-GEOD-30169 | Homo sapiens | Aorta | Aorta endothelial cells | Primary culture | Biological compound | Untreated,Affymetrix GeneChip HT Human Genome U133A,Expression of human aortic endothelial cells treated with or without oxidized phospholipids,"Oxidized phospoholipids are a pro-inflammatory component of minimally modified lipoproteins that get trapped in the subendothelial space of atherosclerotic plaques of large arteries. To model the response of endothelial cells in a pro-atherosclerotic enviroment we measured the expression in primary endothelial cells with and without treatment with oxidized phsopolipids from 96 genetically identical donors of anonymous origin. These samples are an extention of samples of similar origin deposited in GSE20060 Primary human aortic endothelial cells were collected from aortic heart explants of heart transplant donors and cultured in standard cell culture condiditions. At confluence, cells were treated with or without  40 ug/ml oxidized 1-palmitoyl-2-arachidonoyl-sn-glycero-3-phosphatidylcholine (Ox-PAPC) for 4 hours in media 199 containing 1% fetal bovine serum. After 4 hours, the cells were collected for RNA extraction and quantification of transcripts via microarrays.  Application of electronic probe mask (HT_U133Amsk.cdf) on raw data.",Atherosclerosis | Metabolism,No
15,GSM752724.cel,E-GEOD-30169,Homo sapiens,Aorta,Aorta endothelial cells,Primary culture,Biological compound,E-GEOD-30169 | Homo sapiens | Aorta | Aorta endothelial cells | Primary culture | Biological compound | OxPAPC,Affymetrix GeneChip HT Human Genome U133A,Expression of human aortic endothelial cells treated with or without oxidized phospholipids,"Oxidized phospoholipids are a pro-inflammatory component of minimally modified lipoproteins that get trapped in the subendothelial space of atherosclerotic plaques of large arteries. To model the response of endothelial cells in a pro-atherosclerotic enviroment we measured the expression in primary endothelial cells with and without treatment with oxidized phsopolipids from 96 genetically identical donors of anonymous origin. These samples are an extention of samples of similar origin deposited in GSE20060 Primary human aortic endothelial cells were collected from aortic heart explants of heart transplant donors and cultured in standard cell culture condiditions. At confluence, cells were treated with or without  40 ug/ml oxidized 1-palmitoyl-2-arachidonoyl-sn-glycero-3-phosphatidylcholine (Ox-PAPC) for 4 hours in media 199 containing 1% fetal bovine serum. After 4 hours, the cells were collected for RNA extraction and quantification of transcripts via microarrays.  Application of electronic probe mask (HT_U133Amsk.cdf) on raw data.",Atherosclerosis | Metabolism,No
16,GSM752725.cel,E-GEOD-30169,Homo sapiens,Aorta,Aorta endothelial cells,Primary culture,Biological compound,E-GEOD-30169 | Homo sapiens | Aorta | Aorta endothelial cells | Primary culture | Biological compound | Untreated,Affymetrix GeneChip HT Human Genome U133A,Expression of human aortic endothelial cells treated with or without oxidized phospholipids,"Oxidized phospoholipids are a pro-inflammatory component of minimally modified lipoproteins that get trapped in the subendothelial space of atherosclerotic plaques of large arteries. To model the response of endothelial cells in a pro-atherosclerotic enviroment we measured the expression in primary endothelial cells with and without treatment with oxidized phsopolipids from 96 genetically identical donors of anonymous origin. These samples are an extention of samples of similar origin deposited in GSE20060 Primary human aortic endothelial cells were collected from aortic heart explants of heart transplant donors and cultured in standard cell culture condiditions. At confluence, cells were treated with or without  40 ug/ml oxidized 1-palmitoyl-2-arachidonoyl-sn-glycero-3-phosphatidylcholine (Ox-PAPC) for 4 hours in media 199 containing 1% fetal bovine serum. After 4 hours, the cells were collected for RNA extraction and quantification of transcripts via microarrays.  Application of electronic probe mask (HT_U133Amsk.cdf) on raw data.",Atherosclerosis | Metabolism,No
17,GSM752726.cel,E-GEOD-30169,Homo sapiens,Aorta,Aorta endothelial cells,Primary culture,Biological compound,E-GEOD-30169 | Homo sapiens | Aorta | Aorta endothelial cells | Primary culture | Biological compound | OxPAPC,Affymetrix GeneChip HT Human Genome U133A,Expression of human aortic endothelial cells treated with or without oxidized phospholipids,"Oxidized phospoholipids are a pro-inflammatory component of minimally modified lipoproteins that get trapped in the subendothelial space of atherosclerotic plaques of large arteries. To model the response of endothelial cells in a pro-atherosclerotic enviroment we measured the expression in primary endothelial cells with and without treatment with oxidized phsopolipids from 96 genetically identical donors of anonymous origin. These samples are an extention of samples of similar origin deposited in GSE20060 Primary human aortic endothelial cells were collected from aortic heart explants of heart transplant donors and cultured in standard cell culture condiditions. At confluence, cells were treated with or without  40 ug/ml oxidized 1-palmitoyl-2-arachidonoyl-sn-glycero-3-phosphatidylcholine (Ox-PAPC) for 4 hours in media 199 containing 1% fetal bovine serum. After 4 hours, the cells were collected for RNA extraction and quantification of transcripts via microarrays.  Application of electronic probe mask (HT_U133Amsk.cdf) on raw data.",Atherosclerosis | Metabolism,No
18,GSM752727.cel,E-GEOD-30169,Homo sapiens,Aorta,Aorta endothelial cells,Primary culture,Biological compound,E-GEOD-30169 | Homo sapiens | Aorta | Aorta endothelial cells | Primary culture | Biological compound | Untreated,Affymetrix GeneChip HT Human Genome U133A,Expression of human aortic endothelial cells treated with or without oxidized phospholipids,"Oxidized phospoholipids are a pro-inflammatory component of minimally modified lipoproteins that get trapped in the subendothelial space of atherosclerotic plaques of large arteries. To model the response of endothelial cells in a pro-atherosclerotic enviroment we measured the expression in primary endothelial cells with and without treatment with oxidized phsopolipids from 96 genetically identical donors of anonymous origin. These samples are an extention of samples of similar origin deposited in GSE20060 Primary human aortic endothelial cells were collected from aortic heart explants of heart transplant donors and cultured in standard cell culture condiditions. At confluence, cells were treated with or without  40 ug/ml oxidized 1-palmitoyl-2-arachidonoyl-sn-glycero-3-phosphatidylcholine (Ox-PAPC) for 4 hours in media 199 containing 1% fetal bovine serum. After 4 hours, the cells were collected for RNA extraction and quantification of transcripts via microarrays.  Application of electronic probe mask (HT_U133Amsk.cdf) on raw data.",Atherosclerosis | Metabolism,No
19,GSM752728.cel,E-GEOD-30169,Homo sapiens,Aorta,Aorta endothelial cells,Primary culture,Biological compound,E-GEOD-30169 | Homo sapiens | Aorta | Aorta endothelial cells | Primary culture | Biological compound | OxPAPC,Affymetrix GeneChip HT Human Genome U133A,Expression of human aortic endothelial cells treated with or without oxidized phospholipids,"Oxidized phospoholipids are a pro-inflammatory component of minimally modified lipoproteins that get trapped in the subendothelial space of atherosclerotic plaques of large arteries. To model the response of endothelial cells in a pro-atherosclerotic enviroment we measured the expression in primary endothelial cells with and without treatment with oxidized phsopolipids from 96 genetically identical donors of anonymous origin. These samples are an extention of samples of similar origin deposited in GSE20060 Primary human aortic endothelial cells were collected from aortic heart explants of heart transplant donors and cultured in standard cell culture condiditions. At confluence, cells were treated with or without  40 ug/ml oxidized 1-palmitoyl-2-arachidonoyl-sn-glycero-3-phosphatidylcholine (Ox-PAPC) for 4 hours in media 199 containing 1% fetal bovine serum. After 4 hours, the cells were collected for RNA extraction and quantification of transcripts via microarrays.  Application of electronic probe mask (HT_U133Amsk.cdf) on raw data.",Atherosclerosis | Metabolism,No
20,GSM752729.cel,E-GEOD-30169,Homo sapiens,Aorta,Aorta endothelial cells,Primary culture,Biological compound,E-GEOD-30169 | Homo sapiens | Aorta | Aorta endothelial cells | Primary culture | Biological compound | Untreated,Affymetrix GeneChip HT Human Genome U133A,Expression of human aortic endothelial cells treated with or without oxidized phospholipids,"Oxidized phospoholipids are a pro-inflammatory component of minimally modified lipoproteins that get trapped in the subendothelial space of atherosclerotic plaques of large arteries. To model the response of endothelial cells in a pro-atherosclerotic enviroment we measured the expression in primary endothelial cells with and without treatment with oxidized phsopolipids from 96 genetically identical donors of anonymous origin. These samples are an extention of samples of similar origin deposited in GSE20060 Primary human aortic endothelial cells were collected from aortic heart explants of heart transplant donors and cultured in standard cell culture condiditions. At confluence, cells were treated with or without  40 ug/ml oxidized 1-palmitoyl-2-arachidonoyl-sn-glycero-3-phosphatidylcholine (Ox-PAPC) for 4 hours in media 199 containing 1% fetal bovine serum. After 4 hours, the cells were collected for RNA extraction and quantification of transcripts via microarrays.  Application of electronic probe mask (HT_U133Amsk.cdf) on raw data.",Atherosclerosis | Metabolism,No
21,GSM752730.cel,E-GEOD-30169,Homo sapiens,Aorta,Aorta endothelial cells,Primary culture,Biological compound,E-GEOD-30169 | Homo sapiens | Aorta | Aorta endothelial cells | Primary culture | Biological compound | OxPAPC,Affymetrix GeneChip HT Human Genome U133A,Expression of human aortic endothelial cells treated with or without oxidized phospholipids,"Oxidized phospoholipids are a pro-inflammatory component of minimally modified lipoproteins that get trapped in the subendothelial space of atherosclerotic plaques of large arteries. To model the response of endothelial cells in a pro-atherosclerotic enviroment we measured the expression in primary endothelial cells with and without treatment with oxidized phsopolipids from 96 genetically identical donors of anonymous origin. These samples are an extention of samples of similar origin deposited in GSE20060 Primary human aortic endothelial cells were collected from aortic heart explants of heart transplant donors and cultured in standard cell culture condiditions. At confluence, cells were treated with or without  40 ug/ml oxidized 1-palmitoyl-2-arachidonoyl-sn-glycero-3-phosphatidylcholine (Ox-PAPC) for 4 hours in media 199 containing 1% fetal bovine serum. After 4 hours, the cells were collected for RNA extraction and quantification of transcripts via microarrays.  Application of electronic probe mask (HT_U133Amsk.cdf) on raw data.",Atherosclerosis | Metabolism,No
22,GSM752731.cel,E-GEOD-30169,Homo sapiens,Aorta,Aorta endothelial cells,Primary culture,Biological compound,E-GEOD-30169 | Homo sapiens | Aorta | Aorta endothelial cells | Primary culture | Biological compound | Untreated,Affymetrix GeneChip HT Human Genome U133A,Expression of human aortic endothelial cells treated with or without oxidized phospholipids,"Oxidized phospoholipids are a pro-inflammatory component of minimally modified lipoproteins that get trapped in the subendothelial space of atherosclerotic plaques of large arteries. To model the response of endothelial cells in a pro-atherosclerotic enviroment we measured the expression in primary endothelial cells with and without treatment with oxidized phsopolipids from 96 genetically identical donors of anonymous origin. These samples are an extention of samples of similar origin deposited in GSE20060 Primary human aortic endothelial cells were collected from aortic heart explants of heart transplant donors and cultured in standard cell culture condiditions. At confluence, cells were treated with or without  40 ug/ml oxidized 1-palmitoyl-2-arachidonoyl-sn-glycero-3-phosphatidylcholine (Ox-PAPC) for 4 hours in media 199 containing 1% fetal bovine serum. After 4 hours, the cells were collected for RNA extraction and quantification of transcripts via microarrays.  Application of electronic probe mask (HT_U133Amsk.cdf) on raw data.",Atherosclerosis | Metabolism,No
